,id,age,gender,scanner,scan_day,onset,offset,duration_measured,response,key_t,rt,con
0,,,female,Prisma,Tuesday,6.90827146173e-05,7.22408294678e-05,3.15811485052e-06,NA,NA,3.15811485052e-06,ani0
1,,,female,Prisma,Tuesday,2.00314306514,2.00316043454,1.73693988472e-05,NA,NA,1.73693988472e-05,inani0
2,,,female,Prisma,Tuesday,4.0099463287,4.00996409287,1.77641632035e-05,NA,NA,1.77641632035e-05,ani1
3,,,female,Prisma,Tuesday,6.02074888803,6.0207674416,1.85535755008e-05,NA,NA,1.85535755008e-05,inani1
4,,,female,Prisma,Tuesday,8.02139510727,8.02140852902,1.34217552841e-05,escape,8.32072133384645,1.34217552841e-05,ani0
5,,,female,Prisma,Tuesday,10.0213169451,10.0213347093,1.77641632035e-05,escape,11.87200950901024,1.77641632035e-05,inani0
6,,,female,Prisma,Tuesday,12.0211779902,12.0211977281,1.97378685698e-05,escape,12.087052087648772,1.97378685698e-05,ani1
7,,,female,Prisma,Tuesday,14.0137845631,14.013804301,1.97379849851e-05,NA,NA,1.97379849851e-05,inani1
8,,,female,Prisma,Tuesday,16.019086561,16.0191039304,1.73693988472e-05,NA,NA,1.73693988472e-05,ani0
9,,,female,Prisma,Tuesday,18.0193692079,18.0193865773,1.73693988472e-05,escape,18.253352286992595,1.73693988472e-05,inani0
10,,,female,Prisma,Tuesday,20.0199321333,20.0199502921,1.81588111445e-05,NA,NA,1.81588111445e-05,ani1
11,,,female,Prisma,Tuesday,22.018797598,22.0188161517,1.85536919162e-05,NA,NA,1.85536919162e-05,inani1
12,,,female,Prisma,Tuesday,24.0255988878,24.0256162571,1.73692824319e-05,NA,NA,1.73692824319e-05,ani0
13,,,female,Prisma,Tuesday,26.0341240867,26.0341418509,1.77641632035e-05,NA,NA,1.77641632035e-05,inani0
14,,,female,Prisma,Tuesday,28.0382023342,28.0382082555,5.92134892941e-06,NA,NA,5.92134892941e-06,ani1
15,,,female,Prisma,Tuesday,30.1339880531,30.1340058172,1.77641632035e-05,NA,NA,1.77641632035e-05,inani1
16,,,female,Prisma,Tuesday,32.2217100454,32.2217266252,1.65798701346e-05,NA,NA,1.65798701346e-05,ani0
17,,,female,Prisma,Tuesday,34.2666426128,34.2666603769,1.77641632035e-05,NA,NA,1.77641632035e-05,inani0
18,,,female,Prisma,Tuesday,36.3385742754,36.3385928291,1.85536919162e-05,NA,NA,1.85536919162e-05,ani1
19,,,female,Prisma,Tuesday,38.4223826345,38.4224011881,1.85535755008e-05,NA,NA,1.85535755008e-05,inani1
20,,,female,Prisma,Tuesday,40.4377158341,40.4377328088,1.69746344909e-05,NA,NA,1.69746344909e-05,ani0
21,,,female,Prisma,Tuesday,42.468926605,42.4689439744,1.73693988472e-05,NA,NA,1.73693988472e-05,inani0
22,,,female,Prisma,Tuesday,44.4795949465,44.4796162634,2.13169259951e-05,NA,NA,2.13169259951e-05,ani1
23,,,female,Prisma,Tuesday,46.5006639834,46.5006813528,1.73693988472e-05,NA,NA,1.73693988472e-05,inani1
