,id,age,gender,scanner,scan_day,onset,offset,duration_measured,response,key_t,rt,con
0,,,female,Prisma,Tuesday,9.63209895417e-05,25.2223700811,25.2222737601,NA,NA,25.2222737601,ani0
1,,,female,Prisma,Tuesday,25.743919144,67.1429913043,41.3990721602,escape,32.290706285624765,41.3990721602,inani0
2,,,female,Prisma,Tuesday,67.6576948646,95.3338569144,27.6761620499,escape,67.80547853384633,27.6761620499,ani1
3,,,female,Prisma,Tuesday,95.8565843307,161.125949986,65.269365655,escape,96.02293190103956,65.269365655,inani1
